Year,State,District,Rice,Wheat,Jowar,Pearl Millet,Maize,Barley,Chickpea,Groundnut,Sesamum,Sugarcane,Cotton
2006,Madhya Pradesh,Narsinghpur,1206.0,919,856,-1,-1,-1,2205,-1,3066,1094,-1
2007,Madhya Pradesh,Narsinghpur,1653.0,1100,924,-1,-1,-1,2249,-1,3450,924,-1
2008,Madhya Pradesh,Narsinghpur,2061.0,998,700,-1,-1,-1,1986,-1,3589,1817,-1
2009,Madhya Pradesh,Narsinghpur,1671.0,1183,981,-1,-1,-1,1924,-1,5523,2915,-1
2010,Madhya Pradesh,Narsinghpur,1757.0,1221,1028,-1,-1,-1,2161,-1,5360,2348,-1
2011,Madhya Pradesh,Narsinghpur,1907.0,1317,1000,-1,-1,-1,3454,-1,5083,2215,-1
2012,Madhya Pradesh,Narsinghpur,1840.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,Madhya Pradesh,Narsinghpur,3758.0,1433,2750,-1,-1,-1,3340,-1,9583,2310,-1
2015,Madhya Pradesh,Narsinghpur,3360.0,-1,2250,-1,-1,-1,-1,-1,6929,2291,-1
2003,Madhya Pradesh,Seoni / Shivani,-1.0,601,444,-1,466,-1,1228,1338,2811,1040,-1
2004,Madhya Pradesh,Seoni / Shivani,1088.0,632,434,-1,456,-1,1250,1452,2442,1537,-1
2005,Madhya Pradesh,Seoni / Shivani,1066.0,713,620,-1,548,-1,1629,1441,2732,1508,-1
2006,Madhya Pradesh,Seoni / Shivani,1198.0,900,700,-1,626,-1,2112,1655,2645,1302,-1
2007,Madhya Pradesh,Seoni / Shivani,1414.0,1094,900,-1,514,-1,2357,1962,2767,1783,-1
2008,Madhya Pradesh,Seoni / Shivani,1931.0,1125,900,-1,635,-1,2250,2063,5000,1858,-1
2009,Madhya Pradesh,Seoni / Shivani,1307.0,1170,1036,-1,805,-1,1800,2125,-1,4094,-1
2010,Madhya Pradesh,Seoni / Shivani,1500.0,1200,-1,-1,1000,-1,2000,-1,-1,-1,-1
2011,Madhya Pradesh,Seoni / Shivani,1500.0,1100,-1,-1,1100,-1,2800,-1,-1,3500,-1
2012,Madhya Pradesh,Seoni / Shivani,-1.0,1483,-1,-1,1122,-1,3050,-1,-1,3850,-1
2013,Madhya Pradesh,Seoni / Shivani,2180.0,1631,-1,-1,1411,-1,2886,-1,-1,3319,-1
2014,Madhya Pradesh,Seoni / Shivani,2652.0,1600,2558,-1,1097,-1,3500,5014,12013,3166,-1
2015,Madhya Pradesh,Seoni / Shivani,2731.67,-1,-1,-1,1274,-1,3080,6000,-1,3525,-1
2003,Madhya Pradesh,Mandla,-1.0,590,-1,-1,338,-1,1319,-1,2442,-1,-1
2004,Madhya Pradesh,Mandla,-1.0,700,574,-1,525,-1,1355,1574,3200,1409,1788
2005,Madhya Pradesh,Mandla,1005.0,850,588,-1,550,-1,1707,-1,3200,1486,-1
2006,Madhya Pradesh,Mandla,1200.0,1100,-1,-1,600,-1,2252,-1,3200,1672,-1
2007,Madhya Pradesh,Mandla,-1.0,1100,786,-1,550,-1,2388,-1,3200,1038,-1
2008,Madhya Pradesh,Mandla,1000.0,1100,900,-1,800,-1,2151,-1,3600,1804,-1
2009,Madhya Pradesh,Mandla,-1.0,1236,1036,-1,1200,-1,2005,-1,-1,3088,-1
2010,Madhya Pradesh,Mandla,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,Madhya Pradesh,Mandla,-1.0,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1
2012,Madhya Pradesh,Mandla,-1.0,1400,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,Madhya Pradesh,Mandla,-1.0,1500,-1,-1,1202,-1,3500,-1,12750,-1,-1
2014,Madhya Pradesh,Mandla,-1.0,1330,-1,-1,1000,-1,4000,-1,12026,-1,-1
2015,Madhya Pradesh,Mandla,-1.0,1800,-1,-1,1500,-1,4700,-1,10000,-1,-1
2003,Madhya Pradesh,Sagar,-1.0,692,490,-1,-1,-1,1307,1594,2050,-1,-1
2004,Madhya Pradesh,Sagar,1144.0,649,520,-1,-1,-1,1300,1885,2819,1409,1712
2005,Madhya Pradesh,Sagar,1166.0,835,657,-1,-1,-1,1723,1818,2524,1486,-1
2006,Madhya Pradesh,Sagar,1208.0,937,965,-1,602,-1,2423,2181,3333,1162,-1
2007,Madhya Pradesh,Sagar,1125.0,1194,892,-1,407,-1,2474,2400,3628,1618,-1
2008,Madhya Pradesh,Sagar,2033.0,1125,930,-1,-1,-1,2000,2683,4200,1804,-1
2009,Madhya Pradesh,Sagar,1600.0,1197,1082,-1,-1,-1,1950,2960,4537,3088,-1
2010,Madhya Pradesh,Sagar,-1.0,1200,950,-1,800,-1,2200,2450,4733,-1,-1
2011,Madhya Pradesh,Sagar,1437.0,1316,1243,-1,881,-1,3289,3643,6069,-1,-1
2012,Madhya Pradesh,Sagar,1800.0,1561,-1,-1,900,-1,3493,4275,6013,-1,-1
2013,Madhya Pradesh,Sagar,1966.0,1752,1858,-1,1450,-1,2854,5548,3441,-1,-1
2014,Madhya Pradesh,Sagar,3029.0,1639,2531,-1,1301,-1,3387,6399,6172,-1,-1
2015,Madhya Pradesh,Sagar,3410.33,1805,1642,-1,1529,-1,4364,4773,10779,-1,-1
2003,Madhya Pradesh,Damoh,-1.0,689,443,-1,700,-1,1223,1740,2611,-1,-1
2004,Madhya Pradesh,Damoh,1107.0,648,458,-1,-1,-1,1281,2015,2406,1409,-1
2005,Madhya Pradesh,Damoh,1076.0,820,579,-1,-1,-1,1718,1733,2490,1486,-1
2006,Madhya Pradesh,Damoh,1105.0,987,68,-1,567,-1,2070,2019,2413,1162,-1
2007,Madhya Pradesh,Damoh,1243.0,1029,777,-1,787,-1,2293,2409,3214,1038,-1
2008,Madhya Pradesh,Damoh,1511.0,1123,1089,-1,815,-1,1960,2469,4844,1804,-1
2009,Madhya Pradesh,Damoh,1272.0,1140,1010,-1,961,-1,1832,2243,4977,3088,-1
2010,Madhya Pradesh,Damoh,1520.0,1203,1127,-1,657,-1,2156,1979,4310,-1,-1
2011,Madhya Pradesh,Damoh,1548.0,1199,867,-1,1114,-1,3199,2939,4057,-1,-1
2012,Madhya Pradesh,Damoh,1631.0,1427,-1,-1,1056,-1,3136,3750,4787,-1,-1
2013,Madhya Pradesh,Damoh,1827.0,1616,-1,-1,-1,-1,2614,4560,-1,-1,-1
2014,Madhya Pradesh,Damoh,2981.0,1569,2405,-1,1500,-1,3543,4230,8551,-1,-1
2015,Madhya Pradesh,Damoh,2868.33,1522,1877,-1,1331,-1,4481,3404,8996,-1,-1
2003,Madhya Pradesh,Tikamgarh,-1.0,595,400,-1,772,588,1365,-1,2500,1279,-1
2004,Madhya Pradesh,Tikamgarh,1167.0,655,500,-1,-1,544,1292,1471,2891,1418,-1
2005,Madhya Pradesh,Tikamgarh,1212.0,791,719,-1,647,697,1820,-1,2574,1547,-1
2006,Madhya Pradesh,Tikamgarh,1184.0,951,875,-1,782,757,2247,-1,2855,1461,-1
2007,Madhya Pradesh,Tikamgarh,1412.0,1127,889,-1,920,899,2940,-1,3850,1456,-1
2008,Madhya Pradesh,Tikamgarh,1728.0,1118,871,-1,800,845,2165,-1,6139,2274,-1
2009,Madhya Pradesh,Tikamgarh,1740.0,1138,877,-1,1414,800,2036,-1,5937,3980,-1
2010,Madhya Pradesh,Tikamgarh,1759.0,1156,743,-1,-1,923,2173,-1,4366,3240,-1
2011,Madhya Pradesh,Tikamgarh,1586.0,1103,986,-1,-1,1067,3183,-1,5900,2531,-1
2012,Madhya Pradesh,Tikamgarh,1660.0,1503,1270,-1,-1,1103,3064,-1,6307,3567,-1
2013,Madhya Pradesh,Tikamgarh,2057.0,1395,-1,-1,-1,1147,3244,-1,7069,3150,-1
2014,Madhya Pradesh,Tikamgarh,2711.0,1351,-1,-1,1275,1116,3588,-1,-1,2903,-1
2015,Madhya Pradesh,Tikamgarh,2733.67,1537,-1,-1,-1,1357,5192,-1,6547,2926,-1
2004,Madhya Pradesh,Chhatarpur,1239.0,626,509,-1,-1,513,1330,1348,2919,1412,-1
2005,Madhya Pradesh,Chhatarpur,1190.0,862,634,-1,-1,764,1747,-1,2230,1486,-1
2006,Madhya Pradesh,Chhatarpur,1560.0,1014,812,-1,-1,765,2388,-1,3039,1499,-1
2007,Madhya Pradesh,Chhatarpur,-1.0,1180,854,-1,-1,905,2683,-1,3208,1038,-1
2008,Madhya Pradesh,Chhatarpur,1579.0,1095,926,-1,-1,845,2101,-1,2947,1804,-1
2009,Madhya Pradesh,Chhatarpur,-1.0,1236,1036,-1,-1,-1,2005,-1,-1,3088,-1
2010,Madhya Pradesh,Chhatarpur,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,Madhya Pradesh,Chhatarpur,-1.0,-1,-1,-1,-1,-1,-1,-1,4354,-1,-1
2012,Madhya Pradesh,Chhatarpur,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,Madhya Pradesh,Panna,-1.0,660,441,-1,700,540,1225,-1,2188,1267,-1
2004,Madhya Pradesh,Panna,1017.0,626,574,-1,-1,538,1406,-1,3060,1511,-1
2005,Madhya Pradesh,Panna,1180.0,850,588,-1,-1,-1,1997,-1,2000,1681,-1
2006,Madhya Pradesh,Panna,1218.0,1200,800,-1,800,810,2283,-1,3208,1597,-1
2007,Madhya Pradesh,Panna,1332.0,1125,820,-1,748,-1,2388,-1,3325,1596,-1
2008,Madhya Pradesh,Panna,1817.0,1133,1017,-1,1250,-1,1920,-1,5914,1777,-1
2009,Madhya Pradesh,Panna,1440.0,1430,1000,-1,1418,898,2185,-1,5900,3400,-1
2010,Madhya Pradesh,Panna,1450.0,1125,-1,-1,1200,-1,2100,-1,4500,3400,-1
2011,Madhya Pradesh,Panna,1450.0,1288,1000,-1,1195,-1,3970,-1,-1,3400,-1
2012,Madhya Pradesh,Panna,1720.0,1409,1000,-1,1528,-1,3310,-1,4500,3768,-1
2013,Madhya Pradesh,Panna,1699.0,1427,-1,-1,1569,-1,3718,-1,4528,4105,-1
2014,Madhya Pradesh,Panna,2630.0,1427,1207,-1,1434,-1,4085,-1,9100,3878,-1
2015,Madhya Pradesh,Panna,2758.33,1568,1950,-1,1434,-1,4224,-1,9100,3348,-1
2003,Madhya Pradesh,Rewa,-1.0,625,-1,-1,-1,-1,1400,-1,-1,-1,-1
2004,Madhya Pradesh,Rewa,947.0,716,533,625,-1,500,1300,-1,2799,1453,-1
2005,Madhya Pradesh,Rewa,1214.0,840,588,-1,-1,-1,1650,1513,2549,1486,-1
2006,Madhya Pradesh,Rewa,1404.0,1100,670,-1,-1,-1,2252,-1,3066,1162,-1
2007,Madhya Pradesh,Rewa,1156.0,1219,786,-1,-1,-1,2483,-1,-1,1038,-1
2008,Madhya Pradesh,Rewa,1545.0,1168,900,-1,-1,823,2356,-1,-1,1804,-1
2009,Madhya Pradesh,Rewa,1600.0,1188,1036,-1,-1,1000,2558,-1,-1,3088,-1
2010,Madhya Pradesh,Rewa,-1.0,1200,800,-1,-1,-1,-1,-1,4167,-1,-1
2011,Madhya Pradesh,Rewa,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,Madhya Pradesh,Rewa,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,Madhya Pradesh,Sidhi,-1.0,588,-1,-1,-1,-1,1100,-1,-1,-1,-1
2004,Madhya Pradesh,Sidhi,918.0,600,425,-1,576,-1,1338,-1,2183,1409,-1
2005,Madhya Pradesh,Sidhi,1057.0,867,588,-1,562,700,1480,-1,2175,1486,-1
2006,Madhya Pradesh,Sidhi,1248.0,1040,614,-1,607,707,1700,-1,2078,1903,-1
2007,Madhya Pradesh,Sidhi,1588.0,900,500,-1,686,800,1989,-1,-1,1592,-1
2008,Madhya Pradesh,Sidhi,1207.0,1148,700,-1,730,-1,2151,-1,-1,1804,-1
2009,Madhya Pradesh,Sidhi,-1.0,1000,1036,-1,-1,-1,2200,-1,-1,3088,-1
2010,Madhya Pradesh,Sidhi,1200.0,1250,780,-1,780,829,2264,-1,3178,-1,-1
2011,Madhya Pradesh,Sidhi,1300.0,1167,867,-1,800,1088,2563,-1,5383,-1,-1
2012,Madhya Pradesh,Sidhi,1533.0,1400,1154,-1,975,1192,3250,-1,3491,-1,-1
2013,Madhya Pradesh,Sidhi,1608.0,1517,1177,-1,1154,1240,2650,-1,4425,-1,-1
2014,Madhya Pradesh,Sidhi,3037.0,1512,1293,-1,1275,1283,3500,-1,7350,-1,-1
2015,Madhya Pradesh,Sidhi,2705.0,1500,1200,-1,1053,1300,3340,-1,7125,-1,-1
2003,Madhya Pradesh,Satna,-1.0,690,-1,-1,-1,557,1320,-1,3627,-1,-1
2004,Madhya Pradesh,Satna,1086.0,672,574,-1,-1,591,1386,1441,3200,1508,-1
2005,Madhya Pradesh,Satna,1020.0,881,613,-1,-1,677,1700,-1,2488,1486,-1
2006,Madhya Pradesh,Satna,1235.0,1083,878,-1,-1,738,2263,-1,2834,1162,-1
2007,Madhya Pradesh,Satna,1311.0,1129,886,-1,-1,849,2549,-1,3078,1384,-1
2008,Madhya Pradesh,Satna,1472.0,1178,1012,-1,-1,919,2246,-1,4856,1804,-1
2009,Madhya Pradesh,Satna,2176.0,1203,1069,-1,-1,932,2204,-1,5358,3088,-1
2010,Madhya Pradesh,Satna,1780.0,1338,1099,-1,-1,1141,2358,-1,4993,-1,-1
2011,Madhya Pradesh,Satna,1803.0,1315,1121,-1,-1,1109,3447,-1,-1,-1,-1
2012,Madhya Pradesh,Satna,1359.0,1500,-1,-1,-1,1143,3432,-1,-1,-1,-1
2013,Madhya Pradesh,Satna,1843.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,Madhya Pradesh,Satna,2730.0,1675,1400,-1,-1,1138,3222,-1,9333,-1,-1
2015,Madhya Pradesh,Satna,3235.0,1540,2000,-1,-1,1255,4467,-1,7314,-1,-1
2003,Madhya Pradesh,Shahdol,-1.0,620,-1,-1,533,-1,1395,-1,2380,-1,-1
2004,Madhya Pradesh,Shahdol,-1.0,640,574,-1,-1,-1,1217,-1,2524,1409,-1
2005,Madhya Pradesh,Shahdol,951.0,1020,588,-1,-1,-1,1805,-1,2549,1486,-1
2006,Madhya Pradesh,Shahdol,1063.0,1180,-1,-1,-1,-1,2154,-1,3066,1692,-1
2007,Madhya Pradesh,Shahdol,1145.0,982,786,-1,-1,-1,2212,-1,-1,1547,-1
2008,Madhya Pradesh,Shahdol,1760.0,1500,900,-1,-1,1000,2517,-1,3200,1804,-1
2009,Madhya Pradesh,Shahdol,-1.0,1590,1036,-1,-1,1000,2560,-1,3316,3088,-1
2010,Madhya Pradesh,Shahdol,1398.0,1567,1000,-1,-1,-1,3005,-1,3185,-1,-1
2011,Madhya Pradesh,Shahdol,-1.0,1512,1000,-1,-1,-1,3188,-1,4000,-1,-1
2012,Madhya Pradesh,Shahdol,2000.0,1575,-1,-1,-1,-1,3525,-1,3875,-1,-1
2013,Madhya Pradesh,Shahdol,-1.0,1800,-1,-1,-1,-1,3667,-1,-1,-1,-1
2014,Madhya Pradesh,Shahdol,-1.0,-1,-1,-1,-1,900,3667,-1,9000,-1,-1
2015,Madhya Pradesh,Shahdol,2500.0,1750,-1,-1,1500,1340,5200,-1,9125,-1,-1
